#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.61e+01    1.51e+01      1.28e-01    1.41e-01      4.17e-01    3.48e-01      1.02e-01    1.14e-01    1.0e-03
   1000      1.26e+01    1.18e+01      1.16e-02    7.97e-03      3.93e-01    3.65e-01      2.44e-02    2.98e-02    1.0e-03
   2000      1.05e+01    1.23e+01      8.33e-02    7.60e-02      3.28e-01    3.87e-01      2.10e-02    1.64e-02    1.0e-03
   3000      1.24e+01    1.15e+01      3.52e-03    1.56e-03      3.91e-01    3.60e-01      1.26e-02    1.76e-02    1.0e-03
   4000      1.05e+01    1.09e+01      4.96e-02    5.12e-02      3.27e-01    3.36e-01      1.71e-02    2.96e-02    1.0e-03
   5000      9.18e+00    7.73e+00      2.05e-02    2.60e-02      2.80e-01    2.34e-01      3.04e-02    2.56e-02    9.6e-04
   6000      6.60e+00    7.03e+00      8.93e-03    2.55e-03      1.99e-01    2.19e-01      2.59e-02    2.03e-02    9.6e-04
   7000      4.89e+00    5.46e+00      1.07e-03    6.31e-04      1.47e-01    1.58e-01      1.95e-02    2.73e-02    9.6e-04
   8000      6.52e+00    5.11e+00      1.10e-02    1.05e-02      1.89e-01    1.53e-01      3.11e-02    2.02e-02    9.6e-04
   9000      5.54e+00    4.96e+00      9.38e-03    9.83e-03      1.68e-01    1.49e-01      1.99e-02    1.93e-02    9.6e-04
  10000      5.00e+00    5.31e+00      6.48e-03    6.06e-03      1.48e-01    1.72e-01      2.44e-02    8.85e-03    9.3e-04
  11000      4.86e+00    5.42e+00      1.42e-02    9.98e-03      1.50e-01    1.58e-01      1.47e-02    2.72e-02    9.3e-04
  12000      4.32e+00    3.96e+00      6.45e-03    7.20e-03      1.40e-01    1.26e-01      5.31e-03    9.38e-03    9.3e-04
  13000      4.84e+00    4.24e+00      1.21e-03    2.71e-03      1.31e-01    1.14e-01      3.14e-02    2.75e-02    9.3e-04
  14000      3.62e+00    3.72e+00      3.10e-03    3.06e-03      1.11e-01    1.11e-01      1.40e-02    1.73e-02    9.3e-04
  15000      4.99e+00    3.69e+00      5.22e-03    2.56e-03      1.40e-01    1.07e-01      3.10e-02    2.13e-02    9.0e-04
  16000      3.36e+00    2.94e+00      4.47e-03    3.88e-03      1.08e-01    9.59e-02      9.37e-03    6.01e-03    9.0e-04
  17000      3.48e+00    3.82e+00      2.33e-03    7.94e-04      1.08e-01    1.24e-01      1.48e-02    9.73e-03    9.0e-04
  18000      3.41e+00    3.36e+00      5.39e-03    4.37e-03      1.09e-01    1.07e-01      1.01e-02    1.05e-02    9.0e-04
  19000      4.00e+00    4.31e+00      1.49e-02    1.39e-02      1.02e-01    1.20e-01      2.58e-02    2.37e-02    9.0e-04
  20000      3.19e+00    2.99e+00      1.21e-02    9.83e-03      9.74e-02    9.37e-02      7.52e-03    6.18e-03    8.7e-04
  21000      3.56e+00    3.47e+00      3.07e-03    2.32e-03      1.11e-01    1.04e-01      1.66e-02    1.90e-02    8.7e-04
  22000      3.57e+00    3.37e+00      4.86e-03    3.17e-03      1.13e-01    1.08e-01      1.39e-02    1.31e-02    8.7e-04
  23000      2.71e+00    2.91e+00      1.73e-03    1.76e-03      8.67e-02    9.08e-02      1.05e-02    1.34e-02    8.7e-04
  24000      3.17e+00    3.17e+00      2.25e-03    1.18e-03      9.78e-02    1.01e-01      1.54e-02    1.34e-02    8.7e-04
  25000      3.73e+00    3.12e+00      7.00e-03    6.57e-03      9.27e-02    9.24e-02      2.99e-02    1.73e-02    8.4e-04
  26000      2.75e+00    2.84e+00      2.48e-03    2.53e-03      8.95e-02    9.35e-02      1.07e-02    9.98e-03    8.4e-04
  27000      3.09e+00    2.68e+00      1.92e-03    4.14e-04      1.01e-01    8.74e-02      1.18e-02    1.07e-02    8.4e-04
  28000      3.06e+00    3.54e+00      5.61e-03    6.19e-03      9.13e-02    1.07e-01      1.70e-02    1.89e-02    8.4e-04
  29000      3.03e+00    3.00e+00      6.23e-04    1.39e-03      1.01e-01    9.78e-02      9.13e-03    1.19e-02    8.4e-04
  30000      2.90e+00    2.50e+00      4.19e-03    3.16e-03      9.14e-02    8.02e-02      1.46e-02    1.16e-02    8.1e-04
  31000      2.79e+00    2.77e+00      1.68e-03    2.65e-03      9.25e-02    9.10e-02      1.13e-02    1.15e-02    8.1e-04
  32000      2.98e+00    2.80e+00      9.92e-03    9.15e-03      8.36e-02    8.39e-02      1.60e-02    1.14e-02    8.1e-04
  33000      2.68e+00    2.48e+00      2.15e-03    1.34e-03      8.55e-02    8.30e-02      1.36e-02    9.22e-03    8.1e-04
  34000      2.77e+00    2.89e+00      2.98e-03    2.89e-03      8.75e-02    8.74e-02      1.46e-02    1.78e-02    8.1e-04
  35000      2.26e+00    2.66e+00      1.38e-03    6.39e-04      7.93e-02    8.59e-02      5.55e-03    1.45e-02    7.8e-04
  36000      2.60e+00    3.12e+00      3.18e-03    3.98e-03      8.64e-02    9.42e-02      1.11e-02    2.01e-02    7.8e-04
  37000      2.78e+00    2.86e+00      4.65e-03    3.59e-03      8.77e-02    9.79e-02      1.47e-02    9.05e-03    7.8e-04
  38000      3.28e+00    2.96e+00      2.58e-04    1.28e-03      8.51e-02    9.19e-02      2.84e-02    1.86e-02    7.8e-04
  39000      2.30e+00    2.90e+00      3.00e-05    1.40e-04      7.28e-02    8.53e-02      1.37e-02    2.09e-02    7.8e-04
  40000      2.42e+00    2.65e+00      1.63e-03    7.23e-04      8.34e-02    9.43e-02      9.82e-03    7.13e-03    7.5e-04
  41000      2.60e+00    2.31e+00      5.32e-03    4.45e-03      8.70e-02    7.59e-02      9.16e-03    1.01e-02    7.5e-04
  42000      3.00e+00    2.85e+00      2.75e-03    3.84e-03      8.50e-02    8.86e-02      2.37e-02    1.78e-02    7.5e-04
  43000      2.92e+00    2.63e+00      8.35e-03    7.66e-03      9.51e-02    8.54e-02      7.44e-03    6.51e-03    7.5e-04
  44000      2.53e+00    2.68e+00      1.64e-05    8.71e-04      7.95e-02    8.05e-02      1.64e-02    1.93e-02    7.5e-04
  45000      2.90e+00    2.26e+00      9.47e-04    1.53e-04      1.00e-01    7.85e-02      1.37e-02    1.04e-02    7.2e-04
  46000      2.26e+00    2.19e+00      1.99e-04    5.30e-04      7.66e-02    7.28e-02      1.21e-02    1.29e-02    7.2e-04
  47000      2.53e+00    2.21e+00      3.72e-03    3.41e-03      8.17e-02    7.16e-02      1.45e-02    1.25e-02    7.2e-04
  48000      2.77e+00    2.59e+00      3.81e-03    2.82e-03      8.93e-02    8.10e-02      1.63e-02    1.74e-02    7.2e-04
  49000      2.54e+00    2.49e+00      4.96e-03    3.64e-03      8.85e-02    8.47e-02      6.41e-03    1.11e-02    7.2e-04
  50000      2.54e+00    2.59e+00      5.99e-03    5.00e-03      8.29e-02    8.94e-02      1.17e-02    9.60e-03    7.0e-04
  51000      2.20e+00    2.44e+00      2.62e-03    6.76e-05      7.22e-02    8.02e-02      1.34e-02    1.59e-02    7.0e-04
  52000      2.20e+00    1.93e+00      2.41e-03    1.43e-03      7.46e-02    6.89e-02      1.19e-02    8.09e-03    7.0e-04
  53000      2.67e+00    2.39e+00      9.05e-05    1.60e-03      9.50e-02    8.11e-02      1.21e-02    1.36e-02    7.0e-04
  54000      2.36e+00    2.40e+00      3.53e-03    1.81e-03      8.43e-02    8.79e-02      7.42e-03    7.07e-03    7.0e-04
  55000      2.24e+00    2.00e+00      3.39e-03    1.75e-03      7.64e-02    7.55e-02      1.17e-02    4.07e-03    6.7e-04
  56000      2.33e+00    2.50e+00      1.11e-03    5.88e-04      8.18e-02    8.47e-02      1.29e-02    1.61e-02    6.7e-04
  57000      2.56e+00    2.61e+00      2.94e-03    9.64e-04      7.68e-02    8.27e-02      2.06e-02    1.99e-02    6.7e-04
  58000      2.66e+00    2.22e+00      2.80e-03    3.06e-03      7.15e-02    7.92e-02      2.50e-02    8.94e-03    6.7e-04
  59000      2.20e+00    2.06e+00      1.72e-03    1.85e-03      8.12e-02    7.37e-02      7.47e-03    9.43e-03    6.7e-04
  60000      2.17e+00    2.34e+00      9.98e-04    1.88e-03      7.56e-02    7.95e-02      1.33e-02    1.53e-02    6.5e-04
  61000      2.32e+00    2.39e+00      1.06e-03    4.80e-04      8.57e-02    8.14e-02      1.05e-02    1.63e-02    6.5e-04
  62000      1.95e+00    1.86e+00      3.11e-04    9.59e-05      7.06e-02    6.87e-02      1.03e-02    8.47e-03    6.5e-04
  63000      2.13e+00    2.17e+00      2.47e-03    7.21e-04      7.70e-02    8.18e-02      9.64e-03    8.17e-03    6.5e-04
